target_index,target_date,model_id,candidate_id,window_days,beta,alpha,poisson_deviance,mae,rmse
747,2007-10-22,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.77427403301923947,0.40524393954472548,0.50739992622029595
748,2007-10-23,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.79069909464948618,0.41045595749408714,0.5071780107405357
749,2007-10-24,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.81809534622772684,0.41585396422407006,0.52644229349657445
750,2007-10-25,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.78984845366228884,0.41034364132720258,0.50695209800482999
751,2007-10-26,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.7348618290846316,0.39962878027214316,0.4659679999208538
752,2007-10-27,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.79001389089993412,0.41041942470693438,0.50699591046972869
753,2007-10-28,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.85669169333705053,0.4213208699295532,0.56324911505468722
754,2007-10-29,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.90064092461374912,0.43191571473894014,0.58049145725769791
755,2007-10-30,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.81744852418791158,0.4157398591219682,0.52627601073113639
756,2007-10-31,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.82873193762024722,0.41583649436166764,0.54514880026976809
757,2007-11-01,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.81810686410891731,0.41587127650036765,0.52644470869148274
758,2007-11-02,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.70652012527910213,0.39405859407628946,0.4438019333629753
759,2007-11-03,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.78987307289695385,0.41033269852589294,0.50695902202908305
760,2007-11-04,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.73451697086947643,0.39953982014160244,0.4658679520938494
761,2007-11-05,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.84538463568988798,0.42112930348863226,0.54499854121803859
762,2007-11-06,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.79074586460339336,0.41053249273710035,0.50719093367981549
763,2007-11-07,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.7894426910283201,0.41024438649595196,0.50684417025427408
764,2007-11-08,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.73506978308208859,0.39967947527814041,0.46602836340306658
765,2007-11-09,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.85597247663428977,0.42110965904896036,0.56307658088340284
766,2007-11-10,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.95635231594228032,0.43741431134301917,0.64578644119078021
767,2007-11-11,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.81849973559862843,0.41590813111829766,0.52654531068146104
768,2007-11-12,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.82873007212525351,0.41592479140983096,0.54514926461049762
769,2007-11-13,M3_R1,M3R1_ADD_W365_A010,365,1,0.10000000000000001,0.817781228731708,0.41568951979446811,0.52636119018943139
